,,"Estimated number of road traffic deaths","Estimated number of road traffic deaths","Estimated number of road traffic deaths","Estimated road traffic death rate (per 100 000 population)","Estimated road traffic death rate (per 100 000 population)","Estimated road traffic death rate (per 100 000 population)"
"Malaysia","2000","6222 [5524-6921]","5133 [4557-5710]","1089 [967-1211]","26.8 [23.8-29.8]","43.4 [38.6-48.3]","9.6 [8.5-10.6]"
"Maldives","2019","9 [6-13]","7 [4-10]","2 [1-3]","1.6 [1.0-2.4]","2.0 [1.3-3.0]","0.9 [0.6-1.4]"
"Maldives","2018","9 [6-13]","7 [5-10]","2 [1-3]","1.7 [1.1-2.5]","2.2 [1.5-3.2]","0.9 [0.6-1.4]"
"Maldives","2017","9 [6-13]","7 [5-10]","2 [1-3]","1.8 [1.2-2.6]","2.3 [1.5-3.3]","0.9 [0.6-1.4]"
"Maldives","2016","4 [3-6]","3 [2-5]","1 [1-1]","0.9 [0.6-1.2]","1.1 [0.7-1.6]","0.5 [0.3-0.7]"
"Maldives","2015","12 [8-17]","10 [6-13]","2 [2-4]","2.6 [1.8-3.8]","3.5 [2.4-5.0]","1.3 [0.8-2.0]"
"Maldives","2014","11 [7-16]","9 [6-12]","2 [1-3]","2.5 [1.7-3.6]","3.4 [2.3-4.8]","1.3 [0.8-1.9]"
"Maldives","2013","12 [8-17]","9 [6-13]","3 [2-4]","2.9 [1.9-4.1]","3.9 [2.6-5.5]","1.5 [1.0-2.3]"
"Maldives","2012","5 [3-7]","4 [3-5]","1 [1-2]","1.3 [0.9-1.8]","1.7 [1.2-2.4]","0.7 [0.5-1.1]"
"Maldives","2011","9 [6-13]","7 [5-10]","2 [1-3]","2.4 [1.6-3.4]","3.2 [2.2-4.6]","1.3 [0.8-1.9]"
"Maldives","2010","11 [7-16]","8 [6-12]","3 [2-4]","3.0 [2.0-4.3]","4.2 [2.8-5.9]","1.6 [1.0-2.4]"
"Maldives","2009","9 [6-13]","7 [5-10]","2 [1-3]","2.6 [1.7-3.7]","3.6 [2.4-5.1]","1.3 [0.8-2.0]"
"Maldives","2008","7 [5-10]","5 [4-8]","2 [1-3]","2.1 [1.4-3.0]","2.9 [2.0-4.2]","1.1 [0.7-1.6]"
"Maldives","2007","12 [8-17]","9 [6-13]","3 [2-4]","3.6 [2.4-5.2]","5.2 [3.4-7.4]","1.8 [1.1-2.8]"
"Maldives","2006","8 [5-12]","6 [4-9]","2 [1-3]","2.5 [1.6-3.6]","3.5 [2.3-5.0]","1.3 [0.8-2.0]"
"Maldives","2005","16 [10-23]","12 [8-17]","4 [2-6]","5.0 [3.3-7.3]","7.2 [4.8-10.3]","2.6 [1.6-4.0]"
"Maldives","2004","5 [3-7]","4 [2-5]","1 [1-2]","1.6 [1.0-2.4]","2.2 [1.5-3.2]","1.0 [0.6-1.5]"
"Maldives","2003","2 [1-3]","1 [1-2]","1 [0-1]","0.7 [0.4-1.0]","0.9 [0.6-1.3]","0.4 [0.2-0.6]"
"Maldives","2002","6 [4-9]","4 [3-6]","2 [1-3]","2.0 [1.3-3.0]","2.8 [1.8-4.1]","1.2 [0.7-1.8]"
"Maldives","2001","2 [1-3]","1 [1-2]","1 [0-1]","0.7 [0.4-1.0]","1.0 [0.6-1.4]","0.4 [0.3-0.7]"
"Maldives","2000","5 [3-7]","3 [2-5]","2 [1-2]","1.8 [1.1-2.7]","2.4 [1.5-3.5]","1.1 [0.7-1.8]"
"Mali","2019","4465 [3679-5289]","2860 [2357-3388]","1605 [1323-1901]","22.7 [18.7-26.9]","29.0 [23.9-34.4]","16.4 [13.5-19.4]"
"Mali","2018","4359 [3586-5162]","2788 [2294-3302]","1571 [1292-1860]","22.9 [18.8-27.1]","29.2 [24.0-34.6]","16.5 [13.6-19.5]"
"Mali","2017","4256 [3495-5038]","2722 [2235-3222]","1534 [1259-1816]","23.0 [18.9-27.2]","29.4 [24.1-34.8]","16.6 [13.6-19.6]"
"Mali","2016","4159 [3409-4921]","2630 [2156-3112]","1529 [1253-1809]","23.1 [19.0-27.4]","29.3 [24.0-34.6]","17.0 [14.0-20.1]"
"Mali","2015","4054 [3315-4794]","2553 [2087-3019]","1501 [1228-1775]","23.2 [19.0-27.5]","29.3 [23.9-34.6]","17.2 [14.1-20.4]"
"Mali","2014","3966 [3239-4693]","2477 [2023-2931]","1489 [1216-1762]","23.4 [19.1-27.7]","29.3 [23.9-34.6]","17.6 [14.4-20.8]"
"Mali","2013","3893 [3178-4609]","2417 [1973-2862]","1476 [1205-1747]","23.7 [19.3-28.0]","29.4 [24.0-34.8]","17.9 [14.6-21.2]"
"Mali","2012","3784 [3087-4480]","2341 [1910-2772]","1443 [1177-1708]","23.7 [19.3-28.0]","29.3 [23.9-34.7]","18.0 [14.7-21.4]"
"Mali","2011","3728 [3057-4399]","2318 [1900-2735]","1410 [1157-1664]","24.0 [19.7-28.4]","29.9 [24.5-35.3]","18.2 [14.9-21.4]"
"Mali","2010","3643 [2990-4297]","2257 [1852-2662]","1386 [1138-1635]","24.2 [19.9-28.6]","30.0 [24.6-35.4]","18.4 [15.1-21.7]"
"Mali","2009","3533 [2893-4173]","2174 [1780-2568]","1359 [1113-1605]","24.2 [19.8-28.6]","29.9 [24.5-35.3]","18.6 [15.2-22.0]"
"Mali","2008","3382 [2764-4001]","2066 [1688-2444]","1316 [1076-1557]","24.0 [19.6-28.3]","29.3 [24.0-34.7]","18.6 [15.2-22.0]"
"Mali","2007","3247 [2650-3845]","1979 [1615-2343]","1268 [1035-1502]","23.8 [19.4-28.2]","29.1 [23.7-34.4]","18.5 [15.1-21.9]"
"Mali","2006","3156 [2571-3741]","1900 [1548-2252]","1256 [1023-1489]","23.9 [19.5-28.3]","28.9 [23.5-34.2]","19.0 [15.4-22.5]"
"Mali","2005","3085 [2518-3651]","1850 [1510-2189]","1235 [1008-1462]","24.1 [19.7-28.6]","29.1 [23.7-34.4]","19.2 [15.7-22.8]"
"Mali","2004","3026 [2466-3586]","1805 [1471-2140]","1221 [995-1446]","24.5 [19.9-29.0]","29.4 [23.9-34.8]","19.6 [16.0-23.3]"
"Mali","2003","2940 [2391-3489]","1742 [1417-2067]","1198 [974-1422]","24.5 [20.0-29.1]","29.3 [23.8-34.7]","19.9 [16.2-23.6]"
"Mali","2002","2880 [2336-3425]","1697 [1377-2018]","1183 [959-1407]","24.8 [20.1-29.5]","29.4 [23.9-35.0]","20.2 [16.4-24.1]"
"Mali","2001","2800 [2265-3335]","1657 [1341-1974]","1143 [924-1361]","24.8 [20.1-29.6]","29.6 [24.0-35.3]","20.1 [16.3-24.0]"
"Mali","2000","2798 [2256-3339]","1650 [1330-1969]","1148 [926-1370]","25.6 [20.6-30.5]","30.4 [24.5-36.3]","20.8 [16.8-24.8]"
"Malta","2019","18 [13-24]","12 [8-16]","6 [4-9]","4.1 [2.9-5.6]","5.3 [3.7-7.1]","2.9 [2.0-4.0]"
"Malta","2018","20 [14-27]","13 [9-18]","7 [5-10]","4.6 [3.2-6.2]","6.0 [4.2-8.0]","3.3 [2.3-4.5]"
"Malta","2017","21 [16-29]","13 [9-17]","8 [6-12]","4.9 [3.6-6.6]","5.9 [4.3-7.8]","3.9 [2.8-5.3]"
"Malta","2016","26 [19-34]","18 [13-23]","8 [6-11]","6.0 [4.4-7.9]","8.0 [5.9-10.5]","3.9 [2.8-5.3]"
"Malta","2015","12 [9-16]","8 [6-10]","4 [3-5]","2.8 [2.0-3.6]","3.7 [2.7-4.8]","1.8 [1.3-2.4]"
"Malta","2014","10 [7-13]","7 [5-9]","3 [2-4]","2.3 [1.7-3.0]","3.2 [2.4-4.1]","1.5 [1.1-1.9]"
"Malta","2013","20 [15-26]","13 [10-17]","7 [5-9]","4.7 [3.5-6.1]","6.1 [4.6-7.9]","3.3 [2.4-4.4]"
"Malta","2012","12 [9-15]","9 [7-11]","3 [2-4]","2.8 [2.1-3.7]","4.3 [3.3-5.5]","1.4 [1.0-1.9]"
"Malta","2011","20 [15-26]","15 [11-19]","5 [4-7]","4.8 [3.6-6.2]","7.0 [5.4-8.9]","2.6 [1.9-3.4]"
"Malta","2010","16 [12-21]","12 [9-15]","4 [3-6]","3.9 [3.0-5.1]","5.9 [4.5-7.5]","2.0 [1.5-2.7]"
"Malta","2009","22 [17-28]","17 [13-22]","4 [3-6]","5.3 [4.0-6.7]","8.4 [6.5-10.6]","2.1 [1.6-2.8]"
"Malta","2008","18 [14-22]","14 [11-18]","4 [3-5]","4.3 [3.3-5.5]","7.0 [5.4-8.8]","1.7 [1.3-2.2]"
"Malta","2007","16 [12-20]","11 [9-14]","5 [3-6]","3.9 [3.0-5.0]","5.7 [4.4-7.1]","2.2 [1.7-2.8]"
"Malta","2006","10 [8-12]","9 [7-11]","1 [1-2]","2.5 [1.9-3.1]","4.2 [3.4-5.2]","0.7 [0.5-0.9]"
"Malta","2005","17 [13-21]","14 [11-18]","3 [2-4]","4.2 [3.3-5.2]","7.1 [5.7-8.8]","1.3 [1.0-1.7]"
"Malta","2004","14 [11-17]","12 [9-14]","2 [2-3]","3.5 [2.7-4.3]","5.8 [4.6-7.1]","1.2 [0.9-1.6]"
"Malta","2003","18 [14-23]","16 [13-20]","2 [2-3]","4.5 [3.5-5.6]","8.0 [6.3-9.9]","1.0 [0.8-1.4]"
"Malta","2002","16 [13-20]","13 [10-16]","3 [2-4]","4.0 [3.1-5.0]","6.5 [5.1-8.0]","1.6 [1.2-2.0]"
"Malta","2001","19 [15-24]","15 [12-19]","4 [3-5]","4.8 [3.7-6.0]","7.8 [6.1-9.7]","1.8 [1.4-2.4]"
"Malta","2000","18 [14-23]","14 [11-17]","4 [3-5]","4.6 [3.6-5.7]","7.1 [5.6-8.8]","2.1 [1.6-2.7]"
"Mauritania","2019","1158 [972-1341]","696 [584-806]","462 [388-535]","25.6 [21.5-29.6]","30.6 [25.7-35.5]","20.5 [17.2-23.7]"
"Mauritania","2018","1129 [947-1308]","677 [568-784]","452 [379-524]","25.6 [21.5-29.7]","30.6 [25.7-35.5]","20.6 [17.3-23.9]"
"Mauritania","2017","1099 [921-1275]","658 [552-764]","441 [370-512]","25.7 [21.5-29.8]","30.6 [25.7-35.5]","20.7 [17.3-24.0]"
"Mauritania","2016","1064 [891-1236]","634 [531-736]","430 [360-500]","25.6 [21.4-29.7]","30.4 [25.4-35.3]","20.7 [17.4-24.1]"
"Mauritania","2015","1042 [872-1211]","616 [516-716]","426 [356-495]","25.8 [21.6-29.9]","30.4 [25.4-35.3]","21.1 [17.7-24.5]"
"Mauritania","2014","1006 [841-1171]","598 [500-696]","408 [341-475]","25.6 [21.4-29.8]","30.4 [25.4-35.4]","20.8 [17.4-24.2]"
"Mauritania","2013","972 [811-1133]","577 [481-672]","395 [330-461]","25.5 [21.2-29.7]","30.2 [25.2-35.2]","20.7 [17.3-24.2]"
"Mauritania","2012","943 [786-1101]","556 [463-649]","387 [323-452]","25.4 [21.2-29.7]","30.0 [25.0-35.0]","20.9 [17.4-24.4]"
"Mauritania","2011","940 [785-1094]","554 [463-645]","386 [322-449]","26.1 [21.8-30.4]","30.8 [25.7-35.8]","21.4 [17.9-25.0]"
"Mauritania","2010","922 [769-1075]","541 [452-631]","381 [317-444]","26.4 [22.0-30.8]","31.0 [25.9-36.1]","21.8 [18.2-25.4]"
"Mauritania","2009","889 [740-1038]","520 [433-607]","369 [307-431]","26.2 [21.8-30.6]","30.6 [25.5-35.8]","21.8 [18.1-25.4]"
"Mauritania","2008","866 [720-1012]","504 [419-589]","362 [301-423]","26.3 [21.8-30.7]","30.6 [25.5-35.8]","21.9 [18.2-25.6]"
"Mauritania","2007","822 [683-962]","477 [396-558]","345 [287-404]","25.7 [21.3-30.0]","29.8 [24.8-34.9]","21.5 [17.9-25.2]"
"Mauritania","2006","810 [670-949]","469 [388-550]","341 [282-399]","26.0 [21.5-30.5]","30.2 [25.0-35.4]","21.8 [18.1-25.6]"
"Mauritania","2005","800 [659-940]","462 [380-543]","338 [279-397]","26.5 [21.8-31.1]","30.6 [25.2-36.0]","22.3 [18.4-26.2]"
"Mauritania","2004","784 [645-923]","454 [373-534]","330 [272-389]","26.7 [21.9-31.4]","31.0 [25.5-36.5]","22.4 [18.4-26.4]"
"Mauritania","2003","738 [605-870]","424 [348-500]","314 [257-370]","25.8 [21.2-30.4]","29.8 [24.4-35.1]","21.9 [18.0-25.8]"
"Mauritania","2002","720 [590-849]","411 [337-485]","308 [253-364]","25.9 [21.2-30.6]","29.7 [24.4-35.1]","22.1 [18.1-26.1]"
"Mauritania","2001","700 [575-825]","401 [329-472]","299 [246-353]","25.9 [21.3-30.5]","29.8 [24.5-35.1]","22.1 [18.1-26.0]"
"Mauritania","2000","686 [564-809]","391 [321-461]","295 [243-348]","26.1 [21.4-30.8]","29.9 [24.6-35.3]","22.3 [18.3-26.3]"
"Mauritius","2019","155 [113-208]","133 [98-177]","22 [15-31]","12.2 [8.9-16.4]","21.2 [15.6-28.2]","3.5 [2.4-4.9]"
"Mauritius","2018","157 [120-201]","127 [98-161]","30 [21-40]","12.4 [9.4-15.8]","20.3 [15.7-25.7]","4.6 [3.3-6.2]"
"Mauritius","2017","159 [127-194]","133 [108-160]","26 [19-34]","12.5 [10.1-15.3]","21.2 [17.3-25.6]","4.0 [3.0-5.3]"
"Mauritius","2016","173 [141-209]","159 [130-190]","14 [11-19]","13.7 [11.2-16.5]","25.4 [20.9-30.4]","2.2 [1.7-2.9]"
"Mauritius","2015","174 [142-210]","148 [123-177]","26 [19-33]","13.8 [11.3-16.7]","23.8 [19.7-28.3]","4.0 [3.0-5.2]"
"Mauritius","2014","165 [134-200]","134 [111-160]","31 [23-40]","13.1 [10.7-15.9]","21.6 [17.8-25.7]","4.8 [3.7-6.2]"
"Mauritius","2013","153 [125-185]","123 [102-146]","30 [23-39]","12.2 [10.0-14.7]","19.7 [16.4-23.4]","4.8 [3.7-6.2]"
"Mauritius","2012","176 [146-211]","152 [127-180]","24 [18-31]","14.0 [11.6-16.8]","24.5 [20.5-29.0]","3.8 [2.9-4.8]"
"Mauritius","2011","188 [155-225]","158 [132-186]","30 [23-38]","15.0 [12.4-18.0]","25.5 [21.3-30.0]","4.7 [3.6-6.1]"
"Mauritius","2010","166 [137-198]","141 [118-167]","25 [19-31]","13.3 [11.0-15.9]","22.9 [19.1-27.0]","3.9 [3.0-5.0]"
"Mauritius","2009","150 [123-180]","131 [109-156]","19 [14-24]","12.1 [9.9-14.5]","21.3 [17.6-25.3]","3.0 [2.3-3.8]"
"Mauritius","2008","190 [157-228]","161 [135-191]","29 [22-37]","15.3 [12.6-18.4]","26.3 [21.9-31.1]","4.6 [3.5-5.9]"
"Mauritius","2007","157 [128-190]","131 [108-156]","26 [20-34]","12.7 [10.4-15.4]","21.4 [17.7-25.5]","4.2 [3.1-5.4]"
"Mauritius","2006","154 [126-185]","128 [107-152]","26 [20-33]","12.5 [10.3-15.0]","21.1 [17.5-24.9]","4.2 [3.2-5.3]"
"Mauritius","2005","142 [117-171]","115 [96-136]","27 [20-34]","11.6 [9.5-14.0]","19.0 [15.9-22.5]","4.3 [3.3-5.6]"
"Mauritius","2004","187 [153-225]","150 [125-177]","37 [28-48]","15.4 [12.6-18.5]","24.9 [20.7-29.5]","6.1 [4.6-7.8]"
"Mauritius","2003","186 [154-222]","159 [133-188]","27 [20-34]","15.4 [12.7-18.4]","26.6 [22.3-31.4]","4.4 [3.3-5.6]"
"Mauritius","2002","227 [187-272]","186 [156-219]","41 [31-53]","18.9 [15.5-22.6]","31.3 [26.2-36.7]","6.7 [5.0-8.7]"
"Mauritius","2001","167 [137-200]","140 [117-166]","27 [20-34]","14.0 [11.5-16.7]","23.7 [19.8-28.0]","4.4 [3.4-5.7]"
"Mauritius","2000","191 [158-228]","162 [136-191]","29 [23-37]","16.1 [13.3-19.3]","27.5 [23.1-32.5]","4.9 [3.8-6.2]"
"Mexico","2019","16303 [12998-20049]","12872 [10258-15803]","3431 [2740-4247]","12.8 [10.2-15.7]","20.6 [16.4-25.3]","5.3 [4.2-6.5]"
"Mexico","2018","16348 [13698-18879]","12940 [10806-14903]","3408 [2892-3976]","13.0 [10.9-15.0]","21.0 [17.5-24.1]","5.3 [4.5-6.2]"
"Mexico","2017","16395 [14751-17540]","13151 [11783-14031]","3244 [2968-3508]","13.1 [11.8-14.1]","21.6 [19.3-23.0]","5.1 [4.7-5.5]"
"Mexico","2016","16725 [15557-17772]","13360 [12467-14128]","3365 [3090-3645]","13.6 [12.6-14.4]","22.1 [20.7-23.4]","5.3 [4.9-5.8]"
"Mexico","2015","16574 [15580-17582]","13097 [12383-13806]","3477 [3197-3776]","13.6 [12.8-14.4]","22.0 [20.8-23.2]","5.6 [5.1-6.1]"
"Mexico","2014","16009 [15101-16933]","12705 [12053-13366]","3304 [3048-3567]","13.3 [12.5-14.1]","21.6 [20.5-22.7]","5.4 [5.0-5.8]"
"Mexico","2013","15856 [14963-16768]","12651 [12018-13293]","3205 [2945-3475]","13.3 [12.6-14.1]","21.8 [20.7-22.9]","5.3 [4.9-5.7]"
"Mexico","2012","17102 [16136-18116]","13451 [12782-14148]","3651 [3355-3968]","14.6 [13.8-15.4]","23.4 [22.3-24.7]","6.1 [5.6-6.6]"
"Mexico","2011","16615 [15694-17586]","13250 [12598-13926]","3365 [3096-3660]","14.4 [13.6-15.2]","23.4 [22.3-24.6]","5.7 [5.2-6.2]"
"Mexico","2010","16559 [15629-17516]","12990 [12343-13644]","3569 [3286-3872]","14.5 [13.7-15.4]","23.3 [22.1-24.4]","6.1 [5.6-6.6]"
"Mexico","2009","17820 [16843-18825]","14047 [13363-14749]","3773 [3480-4077]","15.8 [15.0-16.7]","25.5 [24.3-26.8]","6.6 [6.1-7.1]"
"Mexico","2008","17062 [16147-18002]","13510 [12871-14158]","3552 [3276-3844]","15.4 [14.6-16.2]","24.9 [23.7-26.1]","6.3 [5.8-6.8]"
"Mexico","2007","15349 [14497-16297]","12018 [11420-12697]","3331 [3076-3600]","14.1 [13.3-14.9]","22.5 [21.4-23.8]","6.0 [5.5-6.5]"
"Mexico","2006","16769 [15844-17779]","13097 [12456-13810]","3672 [3388-3968]","15.6 [14.7-16.5]","24.9 [23.7-26.3]","6.7 [6.2-7.2]"
"Mexico","2005","16579 [15685-17516]","12999 [12369-13661]","3580 [3316-3855]","15.6 [14.8-16.5]","25.1 [23.9-26.4]","6.6 [6.1-7.1]"
"Mexico","2004","15629 [14771-16553]","12211 [11605-12870]","3418 [3166-3683]","15.0 [14.1-15.8]","23.9 [22.7-25.2]","6.4 [5.9-6.9]"
"Mexico","2003","15444 [14617-16301]","11996 [11423-12591]","3448 [3194-3710]","15.0 [14.2-15.8]","23.8 [22.6-24.9]","6.6 [6.1-7.1]"
"Mexico","2002","14626 [13838-15448]","11307 [10759-11885]","3319 [3079-3563]","14.4 [13.6-15.2]","22.7 [21.6-23.8]","6.4 [5.9-6.9]"
"Mexico","2001","14016 [13277-14793]","10929 [10407-11480]","3087 [2870-3313]","14.0 [13.2-14.7]","22.2 [21.1-23.3]","6.0 [5.6-6.5]"
"Mexico","2000","14028 [13297-14783]","11037 [10515-11576]","2991 [2782-3207]","14.2 [13.4-14.9]","22.7 [21.7-23.8]","5.9 [5.5-6.4]"
"Micronesia (Federated States of)","2019","0 [0-0]","0 [0-0]","0 [0-0]","0.2 [0.1-0.3]","0.2 [0.1-0.3]","0.1 [0.0-0.2]"
"Micronesia (Federated States of)","2018","0 [0-0]","0 [0-0]","0 [0-0]","0.2 [0.1-0.3]","0.3 [0.1-0.5]","0.1 [0.1-0.2]"
"Micronesia (Federated States of)","2017","0 [0-0]","0 [0-0]","0 [0-0]","0.3 [0.1-0.4]","0.4 [0.2-0.6]","0.2 [0.1-0.3]"
"Micronesia (Federated States of)","2016","2 [1-3]","1 [1-2]","1 [0-1]","1.8 [0.8-2.9]","2.4 [1.1-3.9]","1.2 [0.6-1.9]"
"Micronesia (Federated States of)","2015","1 [0-2]","1 [0-1]","0 [0-1]","0.9 [0.4-1.5]","1.2 [0.6-2.0]","0.6 [0.3-1.0]"
"Micronesia (Federated States of)","2014","1 [0-2]","1 [0-1]","0 [0-1]","0.9 [0.4-1.5]","1.2 [0.6-2.0]","0.6 [0.3-1.0]"
"Micronesia (Federated States of)","2013","2 [1-3]","1 [1-2]","1 [0-1]","1.9 [0.9-3.0]","2.5 [1.3-4.0]","1.2 [0.6-1.9]"
"Micronesia (Federated States of)","2012","0 [0-0]","0 [0-0]","0 [0-0]","0.0 [0.0-0.0]","0.0 [0.0-0.0]","0.0 [0.0-0.0]"
"Micronesia (Federated States of)","2011","0 [0-0]","0 [0-0]","0 [0-0]","0.0 [0.0-0.0]","0.0 [0.0-0.0]","0.0 [0.0-0.0]"
"Micronesia (Federated States of)","2010","3 [2-5]","2 [1-3]","1 [1-2]","2.9 [1.6-4.5]","3.9 [2.3-6.1]","1.9 [1.0-3.0]"
